Participant_ID,Name,Track,Day,State,College,Content_Score,Design_Score,Presentation_Score,Overall_Score,Feedback,Topic
P042,Fred Smith,Physical Sciences,Day 2,Rajasthan,Jadavpur University,8.3,6.4,8.3,7.7,Interesting approach to Materials Science. The methodology could be more detailed.,Materials Science
P043,Sherry Decker,Social Sciences,Day 2,Delhi,IIT Kharagpur,5.2,9.9,8.1,7.7,"Decent work on Urban Development, would benefit from more better organized examples.",Urban Development
P044,Anthony Humphrey,Life Sciences,Day 4,Uttar Pradesh,Pune University,5.7,8.4,9.5,7.9,The presentation on Microbiology lacked more robust evidence.,Microbiology
P045,Angelica Tucker,Life Sciences,Day 2,Haryana,Amity University,5.3,6.2,9.2,6.9,Great insights into Biotechnology. The visual representation was insightful.,Biotechnology
P046,Philip Cannon,Social Sciences,Day 4,Punjab,Amity University,9.2,7.7,9.5,8.8,"Decent work on Educational Reform, would benefit from more better organized examples.",Educational Reform
P047,John Pierce,Social Sciences,Day 2,Kerala,BITS Pilani,7.4,6.2,7.2,6.9,"Good presentation on Behavioral Psychology, though the data could be more structured.",Behavioral Psychology
P048,Shane Henderson,Social Sciences,Day 3,Rajasthan,IIT Madras,5.8,6.9,5.8,6.2,Great insights into Economic Policy. The visual representation was rigorous.,Economic Policy
P049,Joshua Blair,Social Sciences,Day 4,West Bengal,IIT Delhi,9.2,6.9,8.8,8.3,The presentation on Economic Policy lacked more comprehensive evidence.,Economic Policy
P050,Eric Carney,Physical Sciences,Day 4,Maharashtra,Mumbai University,8.8,9.3,9.8,9.3,Fascinating research on Astronomical Observations. The conclusions were insightful.,Astronomical Observations
P051,Jessica Holmes,Life Sciences,Day 4,Delhi,BITS Pilani,7.4,6.9,8.3,7.5,"Good presentation on Biotechnology, though the data could be better organized.",Biotechnology
P052,Danny Morgan,Life Sciences,Day 1,West Bengal,IIIT Hyderabad,8.3,5.4,7.1,6.9,The poster about Ecology needs more stronger analysis.,Ecology
P053,Crystal Robinson,Social Sciences,Day 4,Telangana,NIT Warangal,6.6,8.8,6.9,7.4,"Decent work on Educational Reform, would benefit from more more structured examples.",Educational Reform
P054,Mark Perez,Engineering Sciences,Day 4,Maharashtra,VIT Vellore,10.0,6.7,8.3,8.3,Interesting approach to Renewable Energy. The methodology could be clearer.,Renewable Energy
P055,Shannon Jones,Life Sciences,Day 2,Maharashtra,SRM Chennai,6.2,7.4,5.6,6.4,The work on Microbiology could benefit from better designed references.,Microbiology
P056,Michael Lewis,Social Sciences,Day 2,Punjab,SRM Chennai,8.9,5.8,6.6,7.1,"Nice effort on Urban Development, but the analysis needs to be more more focused.",Urban Development
P057,Timothy Duncan,Physical Sciences,Day 4,Haryana,NIT Warangal,8.0,9.2,6.2,7.8,"Nice effort on Quantum Physics, but the analysis needs to be more more focused.",Quantum Physics
P058,Richard Aguirre,Engineering Sciences,Day 1,Telangana,VIT Vellore,8.3,5.3,8.2,7.3,Great insights into Robotics. The visual representation was rigorous.,Robotics
P059,Brent Jordan,Engineering Sciences,Day 4,Telangana,Bangalore University,7.2,8.7,9.8,8.6,Fascinating research on Machine Learning. The conclusions were rigorous.,Machine Learning
P060,John Daniel,Physical Sciences,Day 4,Haryana,IIIT Hyderabad,6.6,6.2,9.7,7.5,Great insights into Astronomical Observations. The visual representation was comprehensive.,Astronomical Observations
P061,Victoria Garcia,Physical Sciences,Day 4,Telangana,IIT Bombay,9.3,5.9,6.1,7.1,"Nice effort on Climate Modeling, but the analysis needs to be more more structured.",Climate Modeling
P062,Gerald Hensley,Social Sciences,Day 1,Rajasthan,NIT Warangal,6.2,7.0,7.8,7.0,Great insights into Urban Development. The visual representation was rigorous.,Urban Development
P063,Connor West,Physical Sciences,Day 1,Karnataka,BITS Hyderabad,7.0,6.2,8.3,7.2,Fascinating research on Materials Science. The conclusions were insightful.,Materials Science
P064,Donald Wright,Social Sciences,Day 4,Haryana,VIT Vellore,6.8,7.3,6.5,6.9,Very informative poster about Cultural Studies. The results were detailed.,Cultural Studies
P065,Jessica Callahan,Engineering Sciences,Day 2,Delhi,NIT Warangal,6.4,7.9,8.8,7.7,Interesting approach to Robotics. The methodology could be more detailed.,Robotics
P066,Amber Kidd,Social Sciences,Day 2,Telangana,NIT Trichy,5.1,7.7,6.4,6.4,The study on Cultural Studies needs better designed clarification.,Cultural Studies
P067,Tracy House,Life Sciences,Day 4,Karnataka,IIT Bombay,6.4,7.4,6.7,6.8,Research on Ecology requires more more robust methodology.,Ecology
P068,Carol Tucker,Engineering Sciences,Day 1,West Bengal,Jadavpur University,7.9,8.4,5.8,7.4,Research on Renewable Energy requires more stronger methodology.,Renewable Energy
P069,James Brown,Life Sciences,Day 1,Rajasthan,Anna University,8.0,8.1,8.9,8.3,Great insights into Ecology. The visual representation was detailed.,Ecology
P070,William Baker,Physical Sciences,Day 3,Punjab,SRM Chennai,8.0,8.7,9.7,8.8,Very informative poster about Quantum Physics. The results were detailed.,Quantum Physics
P071,Jordan Henderson,Engineering Sciences,Day 2,Delhi,NIT Trichy,5.4,5.0,7.3,5.9,"Nice effort on Sustainable Architecture, but the analysis needs to be more clearer.",Sustainable Architecture
P072,Whitney Peters,Life Sciences,Day 3,Haryana,BITS Hyderabad,5.4,6.2,6.3,6.0,"Standard research on Biotechnology, could use more more detailed perspectives.",Biotechnology
P073,Brittney Phillips,Physical Sciences,Day 1,Rajasthan,NIT Surathkal,9.5,9.1,5.4,8.0,Impressive work on Materials Science. The analysis was insightful and thorough.,Materials Science
P074,Lauren Daniels,Social Sciences,Day 4,Karnataka,Bangalore University,8.5,9.7,7.5,8.6,Excellent presentation on Cultural Studies. The research methodology was insightful.,Cultural Studies
P075,Amy Silva,Engineering Sciences,Day 4,Haryana,Delhi University,6.3,5.5,9.8,7.2,The study on Sustainable Architecture needs more comprehensive clarification.,Sustainable Architecture
P076,Sarah Moore,Engineering Sciences,Day 3,Punjab,IIT Delhi,7.4,8.3,9.6,8.4,Fascinating research on Machine Learning. The conclusions were rigorous.,Machine Learning
P077,Angela Lopez,Physical Sciences,Day 1,Uttar Pradesh,Mumbai University,6.7,8.4,9.3,8.1,Great insights into Climate Modeling. The visual representation was detailed.,Climate Modeling
P078,Megan Young,Physical Sciences,Day 1,Uttar Pradesh,IIT Madras,6.3,5.6,8.9,6.9,The presentation on Astronomical Observations lacked more comprehensive evidence.,Astronomical Observations
P079,Steve Sanchez,Physical Sciences,Day 4,Maharashtra,NIT Warangal,6.8,8.8,8.1,7.9,"Good presentation on Chemical Synthesis, though the data could be more structured.",Chemical Synthesis
P080,Lisa Barnes,Life Sciences,Day 3,Uttar Pradesh,Jadavpur University,5.1,8.2,9.0,7.4,"Nice effort on Genetic Engineering, but the analysis needs to be more more focused.",Genetic Engineering
P081,Kelly Donovan,Engineering Sciences,Day 4,Karnataka,NIT Surathkal,7.3,5.6,9.2,7.4,Impressive work on Renewable Energy. The analysis was insightful and thorough.,Renewable Energy
P082,Mike Allen,Social Sciences,Day 4,Uttar Pradesh,Jadavpur University,7.3,5.7,6.0,6.3,"Good presentation on Economic Policy, though the data could be clearer.",Economic Policy
P083,Michael Evans,Social Sciences,Day 4,Telangana,Amity University,9.1,6.4,6.5,7.3,"Decent work on Cultural Studies, would benefit from more more detailed examples.",Cultural Studies
P084,Paul Jones,Physical Sciences,Day 4,Telangana,Delhi University,8.8,6.9,9.7,8.5,The poster about Chemical Synthesis needs more more comprehensive analysis.,Chemical Synthesis
P085,Zachary Ferrell,Physical Sciences,Day 2,West Bengal,IIT Delhi,8.7,8.5,9.1,8.8,Very informative poster about Astronomical Observations. The results were rigorous.,Astronomical Observations
P086,Daniel Baker,Engineering Sciences,Day 2,Rajasthan,IIIT Hyderabad,9.3,9.4,7.2,8.6,"Decent work on IoT Applications, would benefit from more clearer examples.",IoT Applications
P087,Shirley Suarez,Life Sciences,Day 4,Kerala,IIT Kharagpur,7.3,9.8,6.7,7.9,Interesting approach to Genetic Engineering. The methodology could be more structured.,Genetic Engineering
P088,Christopher Bass,Physical Sciences,Day 3,Kerala,Jadavpur University,5.2,5.3,8.2,6.2,The poster about Chemical Synthesis needs more stronger analysis.,Chemical Synthesis
P089,Lisa Archer,Physical Sciences,Day 1,Kerala,IIT Kanpur,5.8,6.5,5.1,5.8,Excellent presentation on Climate Modeling. The research methodology was detailed.,Climate Modeling
P090,Aimee Montoya,Social Sciences,Day 3,West Bengal,IIT Kharagpur,7.7,7.8,9.0,8.2,Excellent presentation on Economic Policy. The research methodology was insightful.,Economic Policy
P091,Matthew Mcmillan,Physical Sciences,Day 2,Uttar Pradesh,IIIT Hyderabad,6.2,8.2,7.3,7.2,"Decent work on Materials Science, would benefit from more more structured examples.",Materials Science
P092,Brian Rodriguez,Life Sciences,Day 1,Uttar Pradesh,Mumbai University,6.5,9.8,8.5,8.3,Impressive work on Ecology. The analysis was comprehensive and thorough.,Ecology
P093,Denise Jacobs,Physical Sciences,Day 4,Karnataka,NIT Surathkal,7.9,7.9,10.0,8.6,Great insights into Climate Modeling. The visual representation was detailed.,Climate Modeling
P094,Christina Walters,Engineering Sciences,Day 1,Punjab,Jadavpur University,8.9,6.2,9.0,8.0,Very informative poster about IoT Applications. The results were insightful.,IoT Applications
P095,John Whitehead,Social Sciences,Day 2,Kerala,IIT Kanpur,6.5,7.2,7.9,7.2,Interesting approach to Urban Development. The methodology could be more structured.,Urban Development
P096,Anna Henderson,Social Sciences,Day 4,Tamil Nadu,NIT Warangal,8.9,9.4,6.8,8.4,"Nice effort on Economic Policy, but the analysis needs to be more more detailed.",Economic Policy
P097,Aaron Wise,Social Sciences,Day 4,Gujarat,Delhi University,7.3,5.4,8.8,7.2,Great insights into Urban Development. The visual representation was insightful.,Urban Development
P098,Deborah Figueroa,Social Sciences,Day 1,West Bengal,IIT Bombay,7.7,7.3,8.4,7.8,"Standard research on Cultural Studies, could use more better organized perspectives.",Cultural Studies
P099,Jessica Smith,Social Sciences,Day 1,Kerala,NIT Surathkal,5.1,9.4,7.8,7.4,The poster about Educational Reform needs more stronger analysis.,Educational Reform
P100,Stephen Mckee,Physical Sciences,Day 3,Kerala,Anna University,5.7,9.7,6.5,7.3,Excellent presentation on Quantum Physics. The research methodology was comprehensive.,Quantum Physics
P101,Sandra Aguilar,Life Sciences,Day 4,Uttar Pradesh,Mumbai University,7.1,8.7,5.8,7.2,Excellent presentation on Ecology. The research methodology was rigorous.,Ecology
P102,Cameron Parker,Physical Sciences,Day 3,Maharashtra,Mumbai University,7.2,9.8,9.3,8.8,Impressive work on Materials Science. The analysis was insightful and thorough.,Materials Science
P103,Rebecca Valencia,Social Sciences,Day 1,West Bengal,BITS Pilani,9.8,9.7,9.1,9.5,Very informative poster about Economic Policy. The results were insightful.,Economic Policy
P104,Christine Wright,Engineering Sciences,Day 1,Telangana,NIT Surathkal,8.9,6.0,9.1,8.0,"Standard research on Machine Learning, could use more more detailed perspectives.",Machine Learning
P105,Richard Henson,Life Sciences,Day 3,Tamil Nadu,SRM Chennai,6.4,9.9,9.9,8.7,"Good presentation on Genetic Engineering, though the data could be clearer.",Genetic Engineering
P106,Marc Moore,Engineering Sciences,Day 2,Maharashtra,Mumbai University,7.9,5.1,6.3,6.4,Great insights into Machine Learning. The visual representation was insightful.,Machine Learning
P107,Sharon Cherry,Engineering Sciences,Day 1,Uttar Pradesh,Bangalore University,7.6,5.5,7.5,6.9,The presentation on IoT Applications lacked more comprehensive evidence.,IoT Applications
P108,Sierra Johnson,Social Sciences,Day 4,Kerala,IIT Bombay,10.0,9.2,7.1,8.8,Great insights into Urban Development. The visual representation was innovative.,Urban Development
P109,Evelyn Galvan,Engineering Sciences,Day 3,Punjab,IIT Kharagpur,5.6,8.1,7.9,7.2,"Decent work on Renewable Energy, would benefit from more more focused examples.",Renewable Energy
P110,Sharon Cochran,Social Sciences,Day 4,Rajasthan,SRM Chennai,5.5,8.5,9.3,7.8,"Standard research on Educational Reform, could use more more detailed perspectives.",Educational Reform
P111,Richard Rodriguez,Physical Sciences,Day 4,Delhi,Anna University,9.1,7.0,8.6,8.2,Impressive work on Astronomical Observations. The analysis was detailed and thorough.,Astronomical Observations
P112,Shannon Walker,Social Sciences,Day 2,Kerala,Jadavpur University,5.5,5.4,7.2,6.0,"Nice effort on Urban Development, but the analysis needs to be more more detailed.",Urban Development
P113,Julia Torres,Engineering Sciences,Day 3,Kerala,IIT Kanpur,6.8,8.3,8.8,8.0,The presentation on Robotics lacked better designed evidence.,Robotics
P114,Crystal Johnson,Social Sciences,Day 3,Karnataka,IIIT Hyderabad,6.1,8.3,6.1,6.8,Fascinating research on Behavioral Psychology. The conclusions were detailed.,Behavioral Psychology
P115,Garrett Lin,Engineering Sciences,Day 3,Punjab,NIT Surathkal,9.2,9.9,9.1,9.4,"Standard research on Robotics, could use more clearer perspectives.",Robotics
P116,Diana May,Social Sciences,Day 1,Tamil Nadu,BITS Pilani,9.6,6.8,5.9,7.4,Great insights into Cultural Studies. The visual representation was innovative.,Cultural Studies
P117,William Herrera,Life Sciences,Day 1,Karnataka,Amity University,6.9,7.3,5.8,6.7,Impressive work on Microbiology. The analysis was insightful and thorough.,Microbiology
P118,Ashley Waller,Engineering Sciences,Day 1,Tamil Nadu,NIT Trichy,5.2,5.4,7.2,5.9,Fascinating research on Sustainable Architecture. The conclusions were rigorous.,Sustainable Architecture
P119,Victor Baker,Physical Sciences,Day 3,Delhi,Amity University,6.7,5.6,8.4,6.9,"Standard research on Quantum Physics, could use more more structured perspectives.",Quantum Physics
P120,Jeffrey Chandler,Engineering Sciences,Day 2,West Bengal,SRM Chennai,5.0,6.5,6.1,5.9,Impressive work on Renewable Energy. The analysis was detailed and thorough.,Renewable Energy
P121,Larry Dixon,Social Sciences,Day 1,Maharashtra,Jadavpur University,5.9,6.9,8.5,7.1,"Nice effort on Educational Reform, but the analysis needs to be more clearer.",Educational Reform
P122,Kenneth Scott,Physical Sciences,Day 1,West Bengal,IIT Bombay,9.6,9.3,7.9,8.9,"Decent work on Climate Modeling, would benefit from more more structured examples.",Climate Modeling
P123,April Frost,Engineering Sciences,Day 4,Maharashtra,Delhi University,9.0,8.1,9.2,8.8,The presentation on Machine Learning lacked more robust evidence.,Machine Learning
P124,Michelle Harmon,Engineering Sciences,Day 2,West Bengal,IIIT Hyderabad,7.6,7.0,6.6,7.1,Impressive work on Robotics. The analysis was comprehensive and thorough.,Robotics
P125,Helen Jones,Engineering Sciences,Day 1,Rajasthan,Amity University,9.5,6.7,8.6,8.3,The poster about Machine Learning needs more more coherent analysis.,Machine Learning
P126,Erin Edwards,Engineering Sciences,Day 2,Gujarat,NIT Warangal,8.0,8.8,8.3,8.4,Great insights into Machine Learning. The visual representation was rigorous.,Machine Learning
P127,Michelle Evans,Physical Sciences,Day 3,Kerala,Delhi University,7.2,7.3,8.2,7.6,"Standard research on Materials Science, could use more clearer perspectives.",Materials Science
P128,Jason Powell,Social Sciences,Day 1,Gujarat,Bangalore University,5.2,6.8,6.4,6.1,Interesting approach to Educational Reform. The methodology could be more focused.,Educational Reform
P129,Cameron Fisher,Physical Sciences,Day 4,Punjab,VIT Vellore,7.2,9.0,8.3,8.2,Great insights into Quantum Physics. The visual representation was insightful.,Quantum Physics
P130,Megan Orr,Life Sciences,Day 1,Uttar Pradesh,IIT Kanpur,9.9,5.4,8.2,7.8,Great insights into Neuroscience. The visual representation was rigorous.,Neuroscience
P131,Elizabeth Kelley,Life Sciences,Day 3,Telangana,BITS Hyderabad,7.0,6.7,8.0,7.2,"Nice effort on Biotechnology, but the analysis needs to be more clearer.",Biotechnology
P132,Dustin Jordan,Social Sciences,Day 1,Rajasthan,Pune University,6.3,9.3,9.8,8.5,"Good presentation on Cultural Studies, though the data could be more structured.",Cultural Studies
P133,Mary Marshall,Engineering Sciences,Day 2,Telangana,BITS Hyderabad,5.6,8.5,5.4,6.5,"Nice effort on Robotics, but the analysis needs to be more more detailed.",Robotics
P134,Daniel Kennedy,Engineering Sciences,Day 4,Rajasthan,Mumbai University,6.8,5.9,6.1,6.3,The work on Renewable Energy could benefit from more coherent references.,Renewable Energy
P135,Rebecca Jackson,Life Sciences,Day 2,Tamil Nadu,IIT Madras,9.2,5.5,8.9,7.9,The study on Neuroscience needs stronger clarification.,Neuroscience
P136,Jose Schultz,Social Sciences,Day 2,Punjab,Pune University,5.8,9.2,8.9,8.0,The poster about Economic Policy needs more more robust analysis.,Economic Policy
P137,Robert Potter,Engineering Sciences,Day 4,Telangana,NIT Surathkal,8.1,8.8,8.9,8.6,Very informative poster about Robotics. The results were detailed.,Robotics
P138,Courtney Gonzalez,Physical Sciences,Day 2,Telangana,IIIT Hyderabad,7.3,6.4,6.9,6.9,"Good presentation on Climate Modeling, though the data could be more detailed.",Climate Modeling
P139,David Alvarez,Life Sciences,Day 3,Maharashtra,Jadavpur University,7.8,5.5,9.2,7.5,Research on Neuroscience requires more stronger methodology.,Neuroscience
P140,Angel Perry,Life Sciences,Day 3,Uttar Pradesh,Amity University,9.2,5.5,9.6,8.1,Research on Microbiology requires more stronger methodology.,Microbiology
P141,Cheyenne Horton,Physical Sciences,Day 1,West Bengal,Amity University,6.2,10.0,6.9,7.7,Excellent presentation on Astronomical Observations. The research methodology was detailed.,Astronomical Observations
P142,David Douglas Jr.,Life Sciences,Day 2,Maharashtra,BITS Hyderabad,8.5,5.7,8.5,7.6,Excellent presentation on Biotechnology. The research methodology was innovative.,Biotechnology
P143,Patricia Rodriguez,Engineering Sciences,Day 3,Delhi,IIT Kharagpur,9.7,8.0,7.1,8.3,"Good presentation on Sustainable Architecture, though the data could be more structured.",Sustainable Architecture
P144,Christopher Rubio,Engineering Sciences,Day 1,Delhi,Anna University,7.3,5.6,9.5,7.5,Interesting approach to Sustainable Architecture. The methodology could be more focused.,Sustainable Architecture
P145,Amber Wright,Life Sciences,Day 2,Gujarat,Anna University,8.1,6.2,7.1,7.1,Interesting approach to Genetic Engineering. The methodology could be more focused.,Genetic Engineering
P146,Joyce Solis,Social Sciences,Day 1,Rajasthan,VIT Vellore,8.9,7.5,5.1,7.2,The presentation on Behavioral Psychology lacked more robust evidence.,Behavioral Psychology
P147,Victoria Larson,Social Sciences,Day 3,Haryana,IIT Bombay,8.9,6.7,8.7,8.1,"Standard research on Cultural Studies, could use more more structured perspectives.",Cultural Studies
P148,Stephanie Salazar,Life Sciences,Day 1,Telangana,VIT Vellore,9.1,5.9,8.9,8.0,Great insights into Neuroscience. The visual representation was comprehensive.,Neuroscience
P149,Kathy Rivas,Life Sciences,Day 1,Haryana,Bangalore University,6.5,5.2,6.0,5.9,Impressive work on Genetic Engineering. The analysis was insightful and thorough.,Genetic Engineering
P150,Stephanie Manning,Physical Sciences,Day 4,Gujarat,IIT Delhi,6.4,9.3,5.2,7.0,"Nice effort on Materials Science, but the analysis needs to be more clearer.",Materials Science
P151,David Wright,Social Sciences,Day 4,West Bengal,Bangalore University,6.7,5.9,8.5,7.0,Fascinating research on Educational Reform. The conclusions were detailed.,Educational Reform
P152,Pamela Boyd,Engineering Sciences,Day 4,Karnataka,Anna University,10.0,5.9,6.5,7.5,Impressive work on Sustainable Architecture. The analysis was detailed and thorough.,Sustainable Architecture
P153,Denise Jones,Social Sciences,Day 4,Punjab,Anna University,8.4,6.8,5.2,6.8,Research on Economic Policy requires more more comprehensive methodology.,Economic Policy
P154,Devon Flores,Physical Sciences,Day 3,Kerala,IIT Delhi,8.4,7.0,7.6,7.7,"Good presentation on Quantum Physics, though the data could be clearer.",Quantum Physics
P155,Brenda Hall,Life Sciences,Day 4,Maharashtra,IIT Kharagpur,6.2,8.2,6.8,7.1,The presentation on Genetic Engineering lacked more comprehensive evidence.,Genetic Engineering
P156,Michelle Brown,Life Sciences,Day 4,Telangana,Mumbai University,8.8,7.9,7.6,8.1,Impressive work on Biotechnology. The analysis was comprehensive and thorough.,Biotechnology
P157,Joshua Perry,Engineering Sciences,Day 1,Haryana,NIT Trichy,7.6,9.6,5.6,7.6,"Decent work on Robotics, would benefit from more more detailed examples.",Robotics
P158,Jason Stein,Social Sciences,Day 4,Delhi,IIT Kanpur,9.3,7.3,9.5,8.7,Excellent presentation on Economic Policy. The research methodology was detailed.,Economic Policy
P159,Melissa Gates,Social Sciences,Day 1,Rajasthan,VIT Vellore,9.5,9.3,8.6,9.1,The poster about Cultural Studies needs more better designed analysis.,Cultural Studies
P160,Jamie Smith,Life Sciences,Day 1,Delhi,IIT Kharagpur,9.0,5.1,7.8,7.3,Fascinating research on Microbiology. The conclusions were comprehensive.,Microbiology
